nome;partido;uf;name_simplified
André Janones;AVANTE;MG;andre janones
Chiquinho Brazão;AVANTE;RJ;chiquinho brazao
Greyce Elias;AVANTE;MG;greyce elias
Leda Sadala;AVANTE;AP;leda sadala
Luis Tibé;AVANTE;MG;luis tibe
Pastor Sargento Isidório;AVANTE;BA;pastor sargento isidorio
Sebastião Oliveira;AVANTE;PE;sebastiao oliveira
Tito;AVANTE;BA;tito
Alex Manente;CIDADANIA;SP;alex manente
Arnaldo Jardim;CIDADANIA;SP;arnaldo jardim
Carmen Zanotto;CIDADANIA;SC;carmen zanotto
Da Vitoria;CIDADANIA;ES;da vitoria
Daniel Coelho;CIDADANIA;PE;daniel coelho
Marcelo Calero;CIDADANIA;RJ;marcelo calero
Paula Belmonte;CIDADANIA;DF;paula belmonte
Rubens Bueno;CIDADANIA;PR;rubens bueno
Alan Rick;DEM;AC;alan rick
Alexandre Leite;DEM;SP;alexandre leite
Aníbal Gomes;DEM;CE;anibal gomes
Arthur Oliveira Maia;DEM;BA;arthur oliveira maia
Bilac Pinto;DEM;MG;bilac pinto
Carlos Henrique Gaguim;DEM;TO;carlos henrique gaguim
David Soares;DEM;SP;david soares
Dr. Zacharias Calil;DEM;GO;dr zacharias calil
Efraim Filho;DEM;PB;efraim filho
Eli Corrêa Filho;DEM;SP;eli correa filho
Elmar Nascimento;DEM;BA;elmar nascimento
Fernando Coelho Filho;DEM;PE;fernando coelho filho
Geninho Zuliani;DEM;SP;geninho zuliani
Hélio Leite;DEM;PA;helio leite
Igor Kannário;DEM;BA;igor kannario
Jose Mario Schreiner;DEM;GO;jose mario schreiner
Juninho do Pneu;DEM;RJ;juninho do pneu
Juscelino Filho;DEM;MA;juscelino filho
Kim Kataguiri;DEM;SP;kim kataguiri
Laura Carneiro;DEM;RJ;laura carneiro
Leur Lomanto Júnior;DEM;BA;leur lomanto junior
Luis Miranda;DEM;DF;luis miranda
Marcos Soares;DEM;RJ;marcos soares
Norma Ayub;DEM;ES;norma ayub
Olival Marques;DEM;PA;olival marques
Onyx Lorenzoni;DEM;RS;onyx lorenzoni
Paulo Azi;DEM;BA;paulo azi
Pedro Lupion;DEM;PR;pedro lupion
Pedro Paulo;DEM;RJ;pedro paulo
Professora Dorinha Seabra Rezende;DEM;TO;professora dorinha seabra rezende
Rodrigo Maia;DEM;RJ;rodrigo maia
Sóstenes Cavalcante;DEM;RJ;sostenes cavalcante
Tereza Cristina;DEM;MS;tereza cristina
Zé Augusto Nalin;DEM;RJ;ze augusto nalin
Alceu Moreira;MDB;RS;alceu moreira
Baleia Rossi;MDB;SP;baleia rossi
Carlos Bezerra;MDB;MT;carlos bezerra
Carlos Chiodini;MDB;SC;carlos chiodini
Celso Maldaner;MDB;SC;celso maldaner
Daniela do Waguinho;MDB;RJ;daniela do waguinho
Dulce Miranda;MDB;TO;dulce miranda
