unit_id,coder_id,programmatic,parochial,antagonistic,propaganda
1003518,Afonso,0,0,1,1
1003518,Andre,0,0,1,1
1003518,GPT,1,0,1,0
1012578,Afonso,0,1,0,1
1012578,Andre,0,0,0,1
1012578,GPT,0,0,0,1
1039680,Afonso,0,1,0,0
1039680,Andre,0,1,0,0
1039680,GPT,0,1,0,0
105990,Afonso,0,0,0,0
105990,Andre,0,0,0,0
105990,GPT,0,0,0,0
107234,Afonso,0,1,0,0
107234,Andre,0,1,0,0
107234,GPT,0,1,0,0
145248,Afonso,0,1,0,1
145248,Andre,0,1,0,1
145248,GPT,0,1,0,1
147179,Afonso,1,1,0,0
147179,Andre,1,1,0,0
147179,GPT,1,1,0,0
155290,Afonso,0,1,0,0
155290,Andre,0,1,0,0
155290,GPT,0,1,0,0
182933,Afonso,1,0,0,1
182933,Andre,1,0,0,1
182933,GPT,0,0,0,1
196573,Afonso,0,1,0,0
196573,Andre,0,1,0,0
196573,GPT,0,0,0,0
199736,Afonso,0,1,0,0
199736,Andre,0,1,0,0
199736,GPT,0,1,0,0
206597,Afonso,1,0,0,0
206597,Andre,1,1,0,0
206597,GPT,1,0,0,1
213121,Afonso,0,1,0,0
213121,Andre,0,1,0,0
213121,GPT,1,1,0,0
221256,Afonso,0,0,1,1
221256,Andre,0,0,1,0
221256,GPT,0,0,1,0
224305,Afonso,0,0,0,1
224305,Andre,0,0,1,1
224305,GPT,0,0,0,1
253939,Afonso,0,1,0,0
253939,Andre,0,1,0,0
253939,GPT,0,1,0,0
282127,Afonso,1,1,0,0
282127,Andre,1,1,0,0
282127,GPT,1,1,0,0
291945,Afonso,1,0,0,0
291945,Andre,1,0,0,0
291945,GPT,1,0,0,0
302737,Afonso,0,1,0,0
302737,Andre,0,1,0,0
302737,GPT,0,1,0,0
303439,Afonso,0,1,0,0
303439,Andre,0,1,0,0
303439,GPT,0,1,0,0
311584,Afonso,1,1,0,0
311584,Andre,1,1,0,0
311584,GPT,1,1,0,0
334180,Afonso,0,0,0,1
334180,Andre,0,0,0,1
334180,GPT,0,0,0,0
352197,Afonso,0,0,1,0
352197,Andre,0,0,1,0
352197,GPT,0,0,1,0
382460,Afonso,0,0,0,0
382460,Andre,0,0,0,0
382460,GPT,0,0,0,0
387535,Afonso,0,0,0,1
387535,Andre,0,0,0,1
387535,GPT,0,0,0,1
388220,Afonso,1,0,0,0
388220,Andre,1,1,0,0
388220,GPT,1,1,0,0
40394,Afonso,0,0,0,1
40394,Andre,0,0,0,1
40394,GPT,0,0,1,1
418760,Afonso,0,1,0,1
418760,Andre,0,1,0,1
418760,GPT,0,1,0,1
422377,Afonso,0,0,0,0
422377,Andre,0,0,0,0
422377,GPT,0,0,0,0
424134,Afonso,0,0,0,0
424134,Andre,0,0,0,0
424134,GPT,0,0,0,0
427770,Afonso,0,0,0,1
427770,Andre,1,1,0,0
427770,GPT,1,1,0,0
474411,Afonso,0,0,0,0
474411,Andre,0,0,0,0
474411,GPT,0,0,0,0
497631,Afonso,0,1,0,0
497631,Andre,0,1,0,0
497631,GPT,0,0,0,0
508881,Afonso,0,0,1,0
508881,Andre,0,0,1,0
508881,GPT,0,0,1,0
51420,Afonso,0,0,0,0
51420,Andre,0,1,0,0
51420,GPT,0,1,0,0
520062,Afonso,0,0,0,0
520062,Andre,0,0,0,0
520062,GPT,0,0,0,0
522166,Afonso,0,0,0,0
522166,Andre,0,0,0,0
522166,GPT,0,0,0,0
526464,Afonso,0,1,0,0
526464,Andre,0,0,0,0
526464,GPT,0,0,1,0
528705,Afonso,1,0,0,1
528705,Andre,1,0,1,1
528705,GPT,1,0,1,1
529017,Afonso,0,0,0,0
529017,Andre,0,0,0,1
529017,GPT,0,1,0,0
535319,Afonso,0,0,0,0
535319,Andre,0,0,0,0
535319,GPT,0,0,0,0
544361,Afonso,0,0,1,1
544361,Andre,0,0,1,1
544361,GPT,0,0,1,1
547557,Afonso,1,0,1,1
547557,Andre,1,0,1,1
547557,GPT,1,0,1,1
572100,Afonso,0,0,0,1
572100,Andre,0,0,1,1
572100,GPT,0,0,1,1
583294,Afonso,0,1,0,0
583294,Andre,0,1,0,0
583294,GPT,0,1,0,0
584154,Afonso,0,0,0,1
584154,Andre,0,0,0,1
584154,GPT,0,0,0,0
585116,Afonso,0,1,0,0
585116,Andre,0,1,0,0
585116,GPT,0,1,0,0
606701,Afonso,1,1,0,0
606701,Andre,1,1,0,0
606701,GPT,1,1,0,0
634028,Afonso,0,1,0,0
634028,Andre,0,1,0,0
634028,GPT,0,1,0,0
638197,Afonso,0,1,0,0
638197,Andre,0,1,0,0
638197,GPT,0,1,0,0
640329,Afonso,0,0,0,0
640329,Andre,0,0,0,0
640329,GPT,0,0,0,0
640901,Afonso,0,1,0,0
640901,Andre,0,1,0,0
640901,GPT,0,1,0,0
654058,Afonso,1,0,0,0
654058,Andre,1,0,0,0
654058,GPT,1,0,0,0
656693,Afonso,1,0,0,0
656693,Andre,1,0,0,0
656693,GPT,0,0,0,0
660255,Afonso,0,0,0,1
660255,Andre,0,0,0,1
660255,GPT,0,0,0,0
666564,Afonso,0,0,0,0
666564,Andre,0,1,0,0
666564,GPT,0,1,0,0
6800,Afonso,1,0,0,0
6800,Andre,1,0,1,0
6800,GPT,1,0,1,0
695905,Afonso,0,0,0,1
695905,Andre,0,0,0,1
695905,GPT,0,0,0,0
698022,Afonso,1,0,0,1
698022,Andre,1,0,0,1
698022,GPT,1,0,0,1
703118,Afonso,1,1,0,0
703118,Andre,1,1,0,0
703118,GPT,1,1,0,0
726850,Afonso,0,1,0,0
726850,Andre,0,1,0,0
726850,GPT,0,1,0,0
733878,Afonso,1,0,0,0
733878,Andre,1,0,0,0
733878,GPT,1,0,0,0
741801,Afonso,1,0,0,0
741801,Andre,1,0,0,1
741801,GPT,1,0,0,1
743981,Afonso,0,1,0,1
743981,Andre,0,1,0,0
743981,GPT,0,1,0,0
750708,Afonso,0,0,1,1
750708,Andre,0,0,1,1
750708,GPT,0,0,1,1
774778,Afonso,0,1,0,0
774778,Andre,0,1,0,0
774778,GPT,0,1,0,0
822293,Afonso,1,0,0,0
822293,Andre,1,0,0,0
822293,GPT,1,0,0,0
827999,Afonso,1,0,1,1
827999,Andre,0,0,1,1
827999,GPT,0,0,1,1
832219,Afonso,0,1,0,0
832219,Andre,0,1,0,0
832219,GPT,0,1,0,0
833105,Afonso,0,0,1,1
833105,Andre,0,0,1,1
833105,GPT,0,0,1,1
83506,Afonso,1,0,0,0
83506,Andre,1,0,0,0
83506,GPT,1,0,0,0
