postID,author,page_name,thread_id,text_combined,timestamp,page_created,page_likes,page_id,page_followers,type,post_format,has_hashtags,positive_engagement,interactions,comments,shares,likes,likes_love,likes_wow,likes_haha,likes_sad,likes_angry,likes_care,views_post,views_total,views_total_crossposts,hashtags,url,url_original,party,state,ideology_2021,ProGov,programmatic_matches,parochial_matches,lacracao_matches,propagandistic_matches
941076,capitaoaugustooficial,Capitão Augusto,2992532597633942,absurdo u meramente universidade federal cria cota para presos e exdetentos a universidade federal do sul da bahia ufsb decidiu criar cotas para presidiarios expresidiarios e refugiados a resolucao foi aprovada no final de junho pelo conselho universitario e sera adotada ja no proximo vestibular no segundo semestre a instituicao ira destinar uma vaga em cada curso para este publico universidade federalcria cota para presos eexdetentosa universidade federal do sul da bahia ufsbdecidiu criar cotas para presidiarios expresidiariose refugiados a resolucao foi aprovada no final dejunho pelo conselho universitario e sera adotada jano proximo vestibular 1 no segundo semestre ainstituicao ira destinar uma vaga em cada cursopara este pbic rem a,2021-07-25T19:21:30Z,2013-09-19T15:06:50Z,380258,100044736120314,556141,Photo,Image,0,1386,1876,464,392,499,5,26,27,20,443,0,0,0,0,NA,https://www.facebook.com/1378617549025463/posts/2992532597633942,https://www.facebook.com/capitaoaugustooficial/photos/a.1384073031813248/2992532550967280/?type=3,PL,SP,0.493,1,2,2,0,1
879361,danielacarneirooficial,Daniela Carneiro,1166773883735792,confira as materias aprovadas nesta semana de muito trabalho na camara dos deputados depdanieladowaguinho aforcadamulher amorpelorj amorpelobrasil amorporbelfordroxo mulheresnapolitica deputadafederal materias aprovadas nesta semana na camara dos deputados 1 invon pl 351515 que cria regras para prevenir superendividamento dos consumidores a proposta tambem proibe praticas consideradas enganosas e preve audiencias de negociacao deputadafederal daniela do waguinho photos from daniela do waguinhos post,2021-05-14T16:01:46Z,2017-05-03T23:14:08Z,27654,100044404747131,28985,Photo,Image,1,80,80,4,15,58,3,0,0,0,0,0,0,0,0,"depdanieladowaguinho,aforçadamulher,amorpelorj,amorpelobrasil,amorporbelfordroxo,mulheresnapolitica,deputadafederal",https://www.facebook.com/300746857005170/posts/1166773883735792,https://www.facebook.com/danieladowaguinho/photos/a.305134069899782/1166773650402482/?type=3,MDB,RJ,0.137,1,4,0,0,0
741801,AlexandreLeite.SP,Alexandre Leite,3927828267319589,ainda sobre a pec da prisao em segunda instancia a gazeta do povo traz materia explicando o ocorrido ontem na comissao especial traz ainda nossa sugestao de que ja seja encaminhada a voto no plenario uma vez que ja se estenderam os prazos regimentais para conclusao dos trabalhos na comissao o que afirmei e que nao se pode permitir que o relator e membros da comissao sejam execrados pela opiniao publica quando fatores externos manobraram para frear os trabalhos gazeta do povo o que esta por tras da manobra que travou a votacao da pec da prisao em 2a instancia o regimento da camara permite que proposta seja votada diretamente no plenario da casa sem ter sua tramitacao encerrada na comissao odeputado alexandre leite demsp foi um dos que sugeriu essa proposta segundo ele comissao trad nao merecem passar pelos ocorridos recentes alexandre leite deputadof wwwgazetadopovocombr lexandreleitesp alexandreleitesp i alexandreleitesp,2021-12-09T07:50:37Z,2012-04-04T12:47:49Z,28655,100044441859160,120803,Photo,Image,0,65,78,17,7,41,0,0,0,0,13,0,0,0,0,NA,https://www.facebook.com/203088656460254/posts/3927828267319589,https://www.facebook.com/AlexandreLeite.SP/photos/a.1621118061323966/3927828223986260/?type=3,DEM,SP,0.431,1,12,0,0,1
881975,depdanielalmeida,Daniel Almeida,1899117213587932,pelo adiamento do projeto sobre licenciamento ambiental na verdade este e um projeto complexo que precisaria de um profundo debate e que dissolve a politica de licenciamento ambiental do nosso paisnao tem uma voz lucida que defenda este projeto seis exministros do meio ambiente se manifestaram contra e querem debater a materia todos que estudam pesquisam formam opiniao e elaboram conhecimento dizem que este projeto nao serve e a sociedade vai ter essa aprovacao sem o debate aprofundado nao cabe,2021-05-12T18:59:13Z,2013-09-20T14:11:33Z,51813,100044203730818,67468,Native Video,Video,0,66,66,5,14,47,0,0,0,0,0,0,382,489,0,NA,https://www.facebook.com/216099355223068/posts/1899117213587932,https://www.facebook.com/depdanielalmeida/videos/929229581233973/,PCDOB,BA,-0.822,-1,8,0,0,1
282127,dep.ledasadala,Leda Sadala,376422183024631,vamos incentivar o empreendedorismo atraves das atividades que as vitimas de escalpelamento ja desempenham e vamos fomentar colocando recursos para que possamos gerar trabalho e renda nao so no artesanato como tambem na producao de perucas esta foi uma das solucoes anunciadas pela deputada federal do avante leda sadala durante a acao de combate ao escalpelamento realizada pela prefeitura de santana em parceria com a fundacao orvalho de hermom e a marinha do brasil a presidente da fundacao orvalho de hermom ester de paula disse que junto com a deputada leda sadala e a prefeitura de santana estao discutindo uma agenda politica para as 26 vitimas de escalpelamento so no municipio de santana sao doacoes de peruca atendimento na policlinica alberto lima e acoes para trabalha a autoestima das mulheres com escalpelamento afirmou ester de paula a deputada leda sadala lembrou de suas origens eu venho de uma regiao ribeirinha onde mais acontece esse tipo de acidente eu nao poderia ficar alheia a essa causa agradeco a ester de paula por ter me apresentado a proposta e o projeto pode contar com o nosso apoio leda sadala afirmou ainda que a parceria com a prefeitura de santana com o prefeito ofirney sadala esta dando certo saio daqui gratificada com a receptividade com o projeto com os depoimentos que sensibilizam com certeza vamos investir incentivar conscientizar educar e acima de tudo investir na geracao de renda para essas nossas guerreiras concluiu a deputada ledasadala afederaldoamapa deputadapresente deputadamunicipalista avanteap avantebrasil photos from leda sadalas post,2019-09-02T14:29:58Z,2018-06-28T18:10:20Z,2985,100051021291554,5060,Photo,Image,1,151,151,8,28,101,14,0,0,0,0,0,0,0,0,"LedaSadala,AFederalDoAmapá,DeputadaPresente,DeputadaMunicipalista,AvanteAp,AvanteBrasil",https://www.facebook.com/184298072237044/posts/376422183024631,https://www.facebook.com/dep.ledasadala/photos/a.188800965120088/376421929691323/?type=3,PP,AP,0.51,1,2,7,0,1
427770,RicardoBarrosOficial,Ricardo Barros,3026545664034143,em sessao realizada online o congresso nacional reconheceu estado de calamidade publica no brasil devido a pandemia do coronavirus o governo federal tera a possibilidade de destinar recursos a todo pais para combater a propagacao do virus a votacao foi unanime todos a favor do brasil timeline photos,2020-03-20T11:11:22Z,2010-08-05T18:16:49Z,34155,100044641440106,59617,Photo,Image,0,488,502,42,53,388,4,1,0,12,2,0,0,0,0,NA,https://www.facebook.com/800038830018182/posts/3026545664034143,https://www.facebook.com/RicardoBarrosOficial/photos/a.800606629961402/3026545664034143/?type=3,PP,PR,0.51,1,2,2,0,0
291945,ZambelliOficial,Carla Zambelli,2790022037754951,protocolado hoje o nosso pl 3422020 que aumenta a pena do crime de maustratos a animais art 32 da lei n 9605 para os casos de promocao financiamento ou organizacao de rinha entre caes casos chocantes como o dos 14 pitbulls em mairipora demandam uma resposta do congresso saiba mais sobre o projeto acessando nosso site httpswwwcarlazambellicombrcarlazambelliqueragravarpenacontrarinhasdecaes,2020-02-17T19:07:00Z,2011-12-25T19:19:47Z,553061,100043932348669,705432,Photo,Image,0,6141,6148,348,996,4193,598,6,4,3,0,0,0,0,0,NA,https://www.facebook.com/198620036895177/posts/2790022037754951,https://www.facebook.com/198620036895177/photos/a.1033954643361708/2790021871088301/?type=3,PL,SP,0.493,1,2,0,0,0
987722,pauloganime,Paulo Ganime,950969985502632,nao foi hoje que votamos a pec 52021 a proposta altera a composicao do conselho nacional do ministerio publico e acaba com a independencia do mp prejudicando o combate a corrupcao alem disso nao seguiu a tramitacao conforme manda o regimento interno da camara por isso hoje apresentamos requerimentos de retirada de pauta e de adiamento de discussao para impedir o avanco da proposta que infelizmente nao foram aprovados no entanto saimos vitoriosos dessa batalha com o adiamento da votacao provavelmente a materia ira voltar ao plenario na semana que vem quando continuaremos trabalhando firme para que nao seja aprovada mais do que nunca precisamos reforcar e fortalecer o combate a corrupcao e essa medida vai na direcao contraria,2021-10-14T16:21:39Z,2017-06-26T20:04:36Z,36475,100044501313558,68947,Native Video,Video,0,96,96,6,23,66,1,0,0,0,0,0,290,293,0,NA,https://www.facebook.com/122316191701353/posts/950969985502632,https://www.facebook.com/pauloganime/videos/2929427977274707/,NOVO,RJ,0.711,1,11,0,0,0
388220,samia.bomfim.psol,Sâmia Bomfim,798426077231834,os servidores sao os trabalhadores que garantem o funcionamento dos servicos publicos professores enfermeiros medicos profissionais da seguranca do servico funerario entre tantos outros o banqueiro guedes quer que eles paguem a conta da pandemia guedes propoe congelar salarios de servidores em projeto de socorro a estados e municipios economia estadao governo tambem aumentou de tres para quatro meses o prazo de duracao da ajuda financeira desde que haja contrapartida de suspensao dos reajustes salariais e promocoes por dois anos,2020-04-27T13:25:12Z,2016-04-19T17:24:36Z,397030,100044232379495,567288,Link,Text,0,4120,6372,976,1697,1372,14,59,29,298,1925,2,0,0,0,NA,https://www.facebook.com/101868150220967/posts/798426077231834,"https://economia.estadao.com.br/noticias/geral,guedes-propoe-congelar-salarios-de-servidores-federais-em-projeto-de-socorro-a-estados-e-municipios,70003284112",PSOL,SP,-0.874,-1,2,1,0,0
698022,ViniciusPoit,Vinicius Poit,1302622636785378,retrospectiva2020 fake news se combate com informacao por isso hoje vamos relembrar nossa posicao sobre o decreto que autorizou estudos para realizacao de parcerias publicoprivadas com as ubs inacabadas inoperantes ou ineficientes do sus infelizmente o presidente voltou atras e revogou o decreto mas o nosso trabalho pela desburocratizacao e melhoria das areas essenciais continuara em 2021 a todo vapor photos from vinicius poits post,2020-12-29T12:02:27Z,2016-12-21T11:59:25Z,314278,100044460758408,412326,Photo,Image,1,614,621,88,57,440,24,2,6,1,0,3,0,0,0,RETROSPECTIVA2020,https://www.facebook.com/345383669175951/posts/1302622636785378,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FViniciusPoit%2Fphotos%2Fa.1267562763624699%2F1302622470118728%2F%3Ftype%3D3,NOVO,SP,0.711,1,2,0,0,1
