Name,state,facebook handle,twitter handle,instagram handle,partido,2021_ideological_score,name_simplified,last_name
Abílio Santana,BA,pastorabiliosantana,AbilioSantanna,abiliosantanna,PL,0.493,abilio santana,santana
Abou Anni,SP,DeputadoFederalAbouAnni,NA,abouanni,PSL,0.803,abou anni,anni
Acácio Favacho,AM,deputadofederalacaciofavacho,AcacioFavacho,acaciofavacho,PROS,0.19,acacio favacho,favacho
Adriana Ventura,SP,adriventurasp,adriventurasp,adriventurasp,NOVO,0.711,adriana ventura,ventura
Aécio Neves,MG,AecioNevesOficial,AecioNeves,aecionevesoficial,PSDB,0.157,aecio neves,neves
Afonso Florence,BA,afonsoflorence13,AfonsoFlorence,afonsoflorence,PT,-0.691,afonso florence,florence
Afonso Hamm,RS,depafonsohamm,DepAfonsoHamm,afonsohamm,PP,0.51,afonso hamm,hamm
Afonso Motta,RS,AfonsoMottaOpina,afonso_motta,afonsomottaoficial,PDT,-0.356,afonso motta,motta
Aguinaldo Ribeiro,PB,depaguinaldoribeiro,depaguinaldo11,depaguinaldoribeiro,PP,0.51,aguinaldo ribeiro,ribeiro
Airton Faleiro,PA,airtonfaleiropt,FaleiroAirton,airtonfaleiropt,PT,-0.691,airton faleiro,faleiro
AJ Albuquerque,CE,albuquerque.aj,NA,albuquerque.aj,PP,0.51,aj albuquerque,albuquerque
Alan Rick,AC,alanrickoficial,Alan_Rick,alanrickm,DEM,0.431,alan rick,rick
Alceu Moreira,RS,depalceumoreira,Alceu_Moreira,alceu_moreira,MDB,0.137,alceu moreira,moreira
Alcides Rodrigues,GO,alcidesrodriguesoficial,NA,alcidesrodriguesoficial,PATRIOTA,0.455,alcides rodrigues,rodrigues
Alê Silva,MG,AleSilvaOficial,alesilva_38,alesilva.oficial,PSL,0.803,ale silva,silva
Alencar Santana,SP,AlencarBraga13,AlencarBraga13,alencarbraga13,PT,-0.691,alencar santana,santana
Alessandro Molon,RJ,MolonRJ,alessandromolon,molonrj,PSB,-0.427,alessandro molon,molon
Alex Manente,SP,alexmanente,AlexManente23,alexmanente,CIDADANIA,-0.014,alex manente,manente
Alexandre Frota,SP,alexandrefrotaoficial77,77_frota,alexandrefrota_oficial,PSDB,0.157,alexandre frota,frota
Alexandre Leite,SP,AlexandreLeite.SP,lexandreleite,alexandreleite.sp,DEM,0.431,alexandre leite,leite
Alexandre Padilha,SP,padilhando,padilhando,padilhando,PT,-0.691,alexandre padilha,padilha
Alexandre Serfiotis,RJ,alexandreserfiotis,AleSerfiotis,alexandreserfiotis,PSD,0.296,alexandre serfiotis,serfiotis
Alexis Fonteyne,SP,alexisfonteyne30,AlexisFonteyne,alexisfonteyne30,NOVO,0.711,alexis fonteyne,fonteyne
Alice Portugal,BA,deputadaaliceportugal,Alice_Portugal,aliceportugal,PCDOB,-0.822,alice portugal,portugal
Aliel Machado,PR,alielmachado,alielmachado,alielmachado,PSB,-0.427,aliel machado,machado
Aline Gurgel,AM,depalinegurgel,alinegurgel_ap,dep_alinegurgel,REPUBLICANOS,0.55,aline gurgel,gurgel
Aline Sleutjes,PR,alinesleutjes,AlineSleutjes,alinesleutjes,PSL,0.803,aline sleutjes,sleutjes
Altineu Côrtes,RJ,altineucortesrj,Altineu,altineucortesrj,PL,0.493,altineu cortes,cortes
Aluisio Mendes,MA,aluisiomendesma,aluisiomendesma,aluisiomendesma,PSC,0.596,aluisio mendes,mendes
Amaro Neto,ES,amaronetotv,NA,amaronetotv,REPUBLICANOS,0.55,amaro neto,neto
André Abdon,AM,depandreabdon,DepAndreAbdon,andreabdon_,PP,0.51,andre abdon,abdon
André de Paula,PE,andredepaulaoficial,Andredepaula55,andredepaulaoficial,PSD,0.296,andre de paula,paula
André Ferreira,PE,andreferreira.pe,aferreira2222,andreferreira.pe,PSC,0.596,andre ferreira,ferreira
André Figueiredo,CE,DeputadoAndreFigueiredo,andrepdt12,depandrefigueiredo,PDT,-0.356,andre figueiredo,figueiredo
André Fufuca,MA,andrefufuca,DepAndreFufuca,NA,PP,0.51,andre fufuca,fufuca
André Janones,MG,AndreJanones,AndreJanonesAdv,andrejanones,AVANTE,0.455,andre janones,janones
Angela Amin,SC,AngelaAmin11,DeputadaAngela,angelaaminoficial,PP,0.51,angela amin,amin
Antonio Brito,BA,antoniobritoBA,NA,antoniobritobahia,PSD,0.296,antonio brito,brito
Arlindo Chinaglia,SP,depchinaglia,depchinaglia,depchinaglia,PT,-0.691,arlindo chinaglia,chinaglia
Aroldo Martins,PR,aroldomartinsoficial,aroldomartins,aroldomartinsoficial,REPUBLICANOS,0.55,aroldo martins,martins
Arthur Oliveira Maia,BA,arthur.oliveiramaia,DepArthurMaia,departhuroliveiramaia,DEM,0.431,arthur oliveira maia,maia
Assis Carvalho,PI,assiscarvalho.pt,assis_carvalho,assis_carvalho.pt,PT,-0.691,assis carvalho,carvalho
Átila Lira,PI,deputadoatilalira,deputadoatila,atilalirapi,PP,0.51,atila lira,lira
Augusto Coutinho,PE,augusto.coutinho,dep_acoutinho,NA,SOLIDARIEDADE,0.19,augusto coutinho,coutinho
Áurea Carolina,MG,aureacarolina,aureacarolinax,aureacarolina,PSOL,-0.874,aurea carolina,carolina
Aureo Ribeiro,RJ,AureoRibeiroRJ,AureoRibeiroRJ,aureo.ribeiro,SOLIDARIEDADE,0.19,aureo ribeiro,ribeiro
Bacelar,BA,deputadobacelar,DeputadoBacelar,deputadobacelar,PODE,0.386,bacelar,bacelar
Baleia Rossi,SP,baleia.rossi,Baleia_Rossi,baleia.rossi,MDB,0.137,baleia rossi,rossi
Benedita da Silva,RJ,blogdabenedita,dasilvabenedita,instadabene,PT,-0.691,benedita da silva,silva
Benes Leocádio,RN,BenesLeocadioRN,benesleocadiorn,benesleocadiorn,REPUBLICANOS,0.55,benes leocadio,leocadio
Beto Faro,PA,DeputadoBetoFaro,BetoFaroPT,betofaro131,PT,-0.691,beto faro,faro
Beto Pereira,MS,BetoPereiraMS,betopereirams,betopereirams,PSDB,0.157,beto pereira,pereira
Beto Rosado,RN,betorosado1111,BetoRosado,beto.rosado,PP,0.51,beto rosado,rosado
Bia Kicis,DF,biakicisoficial,Biakicis,biakicis,PSL,0.803,bia kicis,kicis
Bibo Nunes,RS,bibonunes,bibonunes1,bibonunes1,PSL,0.803,bibo nunes,nunes
Bira do Pindaré,MA,bira.dopindare,BiradoPindare,biradopindare,PSB,-0.427,bira do pindare,pindare
Boca Aberta,PR,marabocaabertaparana,bocaabertajr,bocaabertaoficial,PROS,0.19,boca aberta,aberta
Bosco Costa,SE,boscocostase,BoscoCosta_SE,boscocostase,PL,0.493,bosco costa,costa
Bosco Saraiva,AM,BoscoSaraivaAM,boscosaraiva,boscosaraiva,SOLIDARIEDADE,0.19,bosco saraiva,saraiva
Bruna Furlan Deputada Estadual,SP,BrunaFurlanDeputadaEstadual,DepBrunaFurlan,depbrunafurlan,PSDB,0.157,bruna furlan deputada estadual,estadual
Cabo Junio Amaral,mg,cabojunioamaral,cabojunioamaral,cabojunioamaral,PSL,0.803,cabo junio amaral,amaral
Cacá Leão,BA,CacaLeaoOficial,CacaLeao,cacaleao,PP,0.51,caca leao,leao
Camilo Capiberibe,AM,camilocapiberibe,CamiloPSB,NA,PSB,-0.427,camilo capiberibe,capiberibe
Capitão Alberto Neto,AM,capitaoalbertoneto,capalbertoneto,capitaoalbertoneto,REPUBLICANOS,0.55,alberto neto,neto
Capitão Augusto,SP,capitaoaugustooficial,capitaoaugusto_,capitaoaugustooficial,PL,0.493,augusto,augusto
